99,ojodu/berger,ikeja,6.6398443,3.3678943,ChIJA_ckaJCTOxARzUDI2Pykywg
100,pwd,ikeja,6.5829306,3.3403158,ChIJnfqA3h2SOxARB4OxbtoWeBo
101,ajayi farm,ikeja,6.5999913,3.3336224,ChIJAcY344WROxARvHpBAMNzSqo
102,ile zik,ikeja,6.6023027,3.3321351,ChIJM9CBToSROxAR1WfzPBUnneo
103,nigerite,ikeja,6.6055999,3.3369121,ChIJwdBh24CROxARaRsM_AFbhzU
104,wahum,ikeja,6.605940899999999,3.3391222,ChIJgSDKdCqSOxARCAnJwm5iBzU
105,maryland,maryland,38.9791691,-76.5548732,ChIJi4B13en2t4kR59_b2RiQ6C8
106,aba johnson,ikeja,6.6133479,3.3454925,ChIJlY-BvNOTOxARkKgsDdE0dBQ
107,haco,ikeja,6.614680099999999,3.34575,ChIJ07Dz2tOTOxARMNhvoYJZ8hs
108,vintage,ikeja,6.6164705,3.3457285,ChIJ7VE-bdGTOxARKrpNcySSUVE
109,vulcaniser,ikeja,6.6205576,3.3452457,ChIJ6dlbddqTOxAROUrxEGKyr8o
110,ogba,ikeja,6.632661499999999,3.3413029,ChIJJYa4X-CTOxARUAojNmWgrXA
111,second gate,ikeja,6.6103292,3.3359519,ChIJKRuRe3-ROxARz-Y34loBgRg
112,odo eran,ikeja,6.6262433,3.335917,ChIJa0xFfGGROxAR1R9mXgA-s6w
113,ijaiye housing estate,ikeja,6.632661499999999,3.3413029,ChIJJYa4X-CTOxARUAojNmWgrXA
114,agege pen cinema,ikeja,6.627295999999999,3.322701,ChIJZctm6muROxARMdQV4Esu0l4
115,bank,ikeja,6.6080032,3.3362174,ChIJdwSKsoGROxAR09qW7B9I_UQ
116,mangoro,agege,6.6079019,3.3275378,ChIJSSt7GJ2ROxARJ-DkFrtU8IY
117,cement,agege,6.6067908,3.3184343,ChIJlzIu16GROxARxsRUL56U0vY
118,dopemu,agege,6.6096484,3.3078195,ChIJb9i1G6iROxARghJr6jmmNjc
119,pako,agege,6.6093474,3.3076847,ChIJT5Y6F6iROxARUqd9GsGZxh4
120,adealu,agege,6.612751100000001,3.3050287,ChIJiyzPHweROxARjgVYGQE9Z2o
121,iyana-ipaja,agege,6.618155700000001,3.3027796,ChIJcfIgdgOROxARyaJoj08zAjc
122,araromi,agege,6.614036899999999,3.3036289,ChIJRz8yNQGROxARiqxza55Gw-E
123,cele,alimosho,6.6025678,3.3090949,ChIJl0NGCa-ROxARdSxOmqGD0Eo
124,ile-iwe,alimosho,6.544645300000001,3.277005,ChIJb1u-E5WPOxAR-Vga982JJU0
125,synagogue,alimosho,6.5462548,3.2722092,ChIJ-aSBNZOPOxAR8ZLlINQ4YGI
126,ikotun,alimosho,6.5489381,3.2678157,ChIJjfs5hfKPOxAR6l6jE8XTukU
127,first gate,amuwo-odofin,6.4599423,3.3009839,ChIJ2yNenh-JOxAR1uIAGQELczM
128,moshalasi 2,amuwo-odofin,6.4600729,3.2979369,ChIJH3OwEOCIOxARZaDHAfH9aAc
129,moshalish,amuwo-odofin,6.4554155,3.3404996,ChIJVdytzNiLOxARJXz4y3Gcmxs
130,naid,amuwo-odofin,6.4585458,3.2964456,ChIJ1wd4U-CIOxARKfVwm0e2AMU
131,church,amuwo-odofin,6.4586204,3.2955229,ChIJLcrG_OCIOxARWF3yy-4qb-s
132,pako,amuwo-odofin,6.4596838,3.2895496,ChIJS4TrweeIOxARqRX6sjD_eO0
133,agboju,amuwo-odofin,6.4596758,3.2860923,ChIJaSbBSuiIOxAREEmNA6DrAGU
134,oluti,amuwo-odofin,6.458782999999999,3.2778257,ChIJORsbJpWIOxARHRVdIf83Y9E
135,alakija,amuwo-odofin,6.4577142,3.2712865,ChIJw_aH5JaIOxARbN5Pfx0bIv0
136,v-niger,amuwo-odofin,6.457141200000001,3.2612899,ChIJo9Wfe56IOxAR49JD63plw_E
137,abule-ado,amuwo-odofin,6.456275,3.2562178,ChIJKcTl0yCGOxARWI_R41rlpsQ
138,onireke,amuwo-odofin,6.4597051,3.2307959,ChIJB-bqWEKGOxAR4t-o0V8753g
139,barracks,amuwo-odofin,6.4607312,3.2294869,ChIJO07ml0KGOxARQNdaMjgK1-8
140,trade fair,amuwo-odofin,6.4560951,3.2459959,ChIJtajFgTyGOxAR2L71x-bU3Mw
141,abule-oshun,amuwo-odofin,6.456262,3.244309,ChIJtyy4CzyGOxARpqRcyL9hPhk
142,besam,ikeja,6.5697627,3.3317726,ChIJEcT7q_2ROxARFjiEzCzgjnQ
143,iyana school,ketu,6.603013199999999,3.3902673,ChIJzbMwv-SSOxARTmTQPEDxav4
144,barracks ilupeju,ikeja,6.632661499999999,3.3413029,ChIJJYa4X-CTOxARUAojNmWgrXA
145,maryland,kosofe,6.571286499999999,3.3671004,ChIJW_QFI3eSOxARGi_7P3VJhuU
146,anthony,kosofe,6.5587068,3.3669823,ChIJD5e5ro-NOxAReu_S0Ni9A2I
147,mariland,kosofe,6.571286499999999,3.3671004,ChIJW_QFI3eSOxARGi_7P3VJhuU
148,idiroko,ikeja,6.5650407,3.3663064,ChIJG2bjrYmNOxAR-WC626h4VUI
149,ojota bus station,kosofe,6.5876924,3.379303,ChIJ-x5fx3qSOxAReRobbZ3pM1E
150,ojota,kosofe,6.5878387,3.3784407,ChIJrdkGD2CSOxARpAYD3MbuleE
151,ketu,kosofe,6.5980969,3.3861601,ChIJuc8-jvCSOxARUPyyCgnbv2o
152,owode,kosofe,6.6105024,3.4108579,ChIJUSVIPiiTOxAR49HgICFXd_4
153,tincan 1st gate,apapa,6.434313,3.3420888,ChIJwyrN2SuKOxARWPpzgignfvc
154,tincan 2nd gate,apapa,6.436259000000001,3.3555803,ChIJhfiHWzSKOxARSoPTiXb_9i4
155,liverpool,apapa,6.4400917,3.3594668,ChIJJRhvWrWLOxARJWtQM4eXTbA
156,trebor,apapa,6.439496999999999,3.3620659,ChIJI4r40rSLOxARFdp_hIfhqws
157,apapa,apapa,6.4931387,3.3225328,ChIJLSpV57mOOxARWbOiJ9h-iac
158,wharf,apapa,6.4414054,3.3776012,ChIJMwd58aqLOxARW0aPM-_wtXk
159,eleganza,apapa,6.443412299999999,3.3744603,ChIJyQl-9KuLOxARAqFkVFlRue4
160,berger car depot bridge,ajeromi-ifelodun,6.450502,3.319228,ChIJcyogV22JOxAR007BV5b83Hw
161,berger/kirikiri,ajeromi-ifelodun,6.4487858,3.3184987,ChIJ-W3JNQ2JOxARkKYxcPbovrs
162,berger,ajeromi-ifelodun,6.4487858,3.3184987,ChIJ-W3JNQ2JOxARkKYxcPbovrs
163,sunrise,ajeromi-ifelodun,6.442796599999999,3.3218408,ChIJkXU6UHSJOxARZvq07WORSNI
164,apapa expressway ,ajeromi-ifelodun,6.4416666,3.3251962,ChIJNTseXXaJOxARfIkLH9S9yC0
165,trinity,ajeromi-ifelodun,6.4478743,3.3233643,ChIJeT0kLHKJOxAR4P8mXVCJ5tc
166,ware-house,ajeromi-ifelodun,6.4410725,3.329705,ChIJkykxPHiJOxARL_cKxqn2OwE
167,coconut,ajeromi-ifelodun,6.440065,3.3351392,ChIJ0-uOZ3-JOxARb9eZr4A3BQ0
168,bus-stop,ajeromi-ifelodun,6.440065,3.3351392,ChIJ0-uOZ3-JOxARb9eZr4A3BQ0
169,leventis,lagos island,6.4587623,3.3826564,ChIJiXRZEQuLOxARkIYITpEdUDQ
170,cms,lagos island,6.4510406,3.3916318,ChIJFXOMYBCLOxARib_sMoIGIck
171,ajah park,lagos island,6.4685881,3.5656482,ChIJPRBpc0b3OxAR7lEvy8fULGI
172,barracks,lagos island,6.4412164,3.4022427,ChIJF7Qt-iCLOxARlUDmdxgZLOw
173,obalende,lagos island,6.4515869,3.408224,ChIJA262kjqLOxARjFMEfTkCn84
174,legico,eti-osa,6.43289,3.40902,ChIJmQkDD9qKOxARWyVq0G576SU
175,silverbird galleria,eti-osa,6.4276713,3.4087873,ChIJ07xFRcWKOxARhJmtXUg81ag
176,nta,eti-osa,6.4242496,3.4091714,ChIJ87lIC8aKOxARwYpzD7Hs8eA
177,mrs station,eti-osa,6.436730799999999,3.4191889,ChIJMyGXLtWKOxARMAIInwg9OY0
178,bishop oluwole,eti-osa,6.42224,3.4137,ChIJEyupRcmKOxARkljwbLF6Ldg
179,oduduwa house,eti-osa,6.42238,3.41822,ChIJC7DnZ8uKOxARExCmdNDQwmk
180,akin adesola(dhl),eti-osa,6.426500000000001,3.42401,ChIJ5braJDL1OxARt91M6gItilQ
181,tamiyu savage junction,eti-osa,6.4389083,3.4250844,ChIJYVh-_Sn1OxAR0bq6nTfIJlM
