1st roundabout lekki,TE,ikeja plaza roundabout|eko hotel roundabout|1st roundabout lekki|2nd roundabout lekki|3rd roundabout lekki|5th roundabout lekki|6th roundabout lekki|7th roundabout lekki
oniru estate,TR,ajao estate|oniru beach|oniru estate
law school,TR,iyana school|law school
oniru,TR,onireke|oniru beach|oniru estate
barracks,TR,barracks
1st roundabout lekki,TE,ikeja plaza roundabout|eko hotel roundabout|1st roundabout lekki|2nd roundabout lekki|3rd roundabout lekki|5th roundabout lekki|6th roundabout lekki|7th roundabout lekki
oniru estate,TR,ajao estate|oniru beach|oniru estate
law school,TR,iyana school|law school
oniru,TR,onireke|oniru beach|oniru estate
barracks,TR,barracks
ajah park,TR,park & shop|ajah
maryland,TR,maryland|maryland
ojota,TR,ojota bus station|ojota
agric,TR,agric (ikorodu)|agric
cele,TR,cele express|cele|cele
ikorodu garage,TE,bus garage|agric (ikorodu)|badagry garage
mosalashi,TR,moshalasi|mosalashi
pako,TR,pako|pako|pako
second gate,TR,second gate|2nd toll gate|second gate
alakija,TR,alaka|alakija
v-niger,TR,nigerite|v-niger
abule-ado,TR,abule|abule-ado|abule-oshun
abule-oshun,TR,abule|abule-ado|abule-oshun
barracks,TR,barracks
agric,TR,agric (ikorodu)|agric
ilaje,TR,ilasa|ilasan|ilaje|ilaje
iyana iba,TR,iyana isolo|iyana-ipaja|iyana school|iyana itire|iyanaoba
alabarago,TR,alaba|alabarago
moshalasi 2,TR,moshalasi|moshalasi 2
under bridge,TR,underbridge busstop kilo|ikeja bridge|under bridge
araromi,TR,aromire|araromi|araromi
mammy market ibereko,TR,new market|mammy market ibereko
badagry garage,TE,bus garage|badagry garage
alaba suru,TE,alaba|alaba express|alabarago
mosalashi,TR,moshalasi|mosalashi
pako,TR,pako|pako|pako
second gate,TR,second gate|2nd toll gate|second gate
alakija,TR,alaka|alakija
v-niger,TR,nigerite|v-niger
abule-ado,TR,abule|abule-ado|abule-oshun
abule-oshun,TR,abule|abule-ado|abule-oshun
barracks,TR,barracks
agric,TR,agric (ikorodu)|agric
ilaje,TR,ilasa|ilasan|ilaje|ilaje
iyana iba,TR,iyana isolo|iyana-ipaja|iyana school|iyana itire|iyanaoba
alabarago,TR,alaba|alabarago
moshalasi 2,TR,moshalasi|moshalasi 2
under bridge,TR,underbridge busstop kilo|ikeja bridge|under bridge
araromi,TR,aromire|araromi|araromi
mammy market ibereko,TR,new market|mammy market ibereko
badagry garage,TR,bus garage|badagry garage
mosalashi,TR,moshalasi|mosalashi
iyana isolo,TE,isolo|iyana isolo|iyana-ipaja|iyana school|iyana itire|iyanaoba
mosalashi,TR,moshalasi|mosalashi
mosalashi,TR,moshalasi|mosalashi
barracks,TR,barracks
alaka,TR,alaba|alaka|alade|alausa|alakija
forest street,TR,idowu street|idejo street
underbridge,TR,underbridge busstop kilo|under bridge
pako*,TR,pako|pako|pako
second nosamu,TR,second gate|second gate
ago hausa,TR,ago|alausa
aduke junction,TR,itire Rd Junction|okada junction|aswani market junction|aye junction|taimiyu savage junction
e.c.n. junction,TR,itire Rd Junction|okada junction|aswani market junction|aye junction|taimiyu savage junction
alao,TR,alaba|alaka|alade|alausa|alakija
barrack,TR,barracks|barracks|barracks|barracks
alaba suru,TR,alaba|alaba express|alabarago
ijesha market,TR,new market|mammy market ibereko
itire road junction*,TR,itire Rd Junction|okada junction|aye junction
pako,TR,pako|pako|pako
itire road junction*,TR,itire Rd Junction|okada junction|aye junction
ijesha market,TE,new market|mammy market ibereko
Ikeja,TE,ikeja along|ikeja|ikeja bridge
first bank,TR,first gate|bank|first gate|adeola odeku (first bank)
ojota,TE,ojota bus station|ojota
ikeja,TE,ikeja along|ikeja|ikeja bridge
ile zik,TR,ile zik|ile-iwe
cele,TR,cele express|cele|cele
ikeja,TE,ikeja along|ikeja|ikeja bridge
ile zik,TR,ile zik|ile-iwe
abule odu,TR,abule|abule-ado|abule-oshun
ikotun,TE,ikotun|ikota
iyana ipaja,TE,iyana isolo|iyana-ipaja|iyana school|iyana itire|iyanaoba
abule odu,TR,abule|abule-ado|abule-oshun
akesan junction,TR,itire Rd Junction|okada junction|aswani market junction|aye junction
araromi,TR,aromire|araromi|araromi
bus stop,TR,bus stop|empire bus stop|sabo bus stop
iba junction,TR,itire Rd Junction|okada junction|aswani market junction|aye junction|taimiyu savage junction
iyana school,TR,iyana isolo|iyana-ipaja|iyana school|law school|iyana itire
iba estate,TR,ajao estate|oniru estate
iyana iba,TE,iyana isolo|iyana-ipaja|iyana school|iyana itire|iyanaoba
iyana iba,TE,iyana isolo|iyana-ipaja|iyana school|iyana itire|iyanaoba
iba estate,TE,ajao estate|oniru estate
iyana iba,TE,iyana isolo|iyana-ipaja|iyana school|iyana itire|iyanaoba
iba estate,TR,ajao estate|oniru estate
iyana school,TR,iyana isolo|iyana-ipaja|iyana school|law school|iyana itire
iba junction,TE,itire Rd Junction|okada junction|aswani market junction|aye junction|taimiyu savage junction
iyana iba,TE,iyana isolo|iyana-ipaja|iyana school|iyana itire|iyanaoba
iba estate,TR,ajao estate|oniru estate
iyana school,TR,iyana isolo|iyana-ipaja|iyana school|law school|iyana itire
