,,,berger,,sunrise,sunrise,,,,,,,,,jibowu,jibowu,,,,,,,,,,,,,apapa,,,,,,,,alade,bank,,,kings guard,,,,,alabarago,ppl,,,,,,,,,,,,,,,ikotun,,igando,,,idowu egba,idowu egba,,idowu egba,,,,,,,west end,,idimu,,,,,
,,,sunrise,,alaba express way,alaba express way,,,,,,,,,yaba,ojuelegba bus station,,,,,,,,,,,,,wharf,,,,,,,,allen,old abeokuta rd,,,7th roundabout lekki,,,,,moshalasi 2,alabarago,,,,,,,,,,,,,,,,,olorunfemi,,,association,association,,association,,,,,,,first pedro,,alhaja,,,,,
,,,alaba express way,,trinity,trinity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ikeja,agege pen cinema,,,chevron,,,,,okokomaiko,moshalasi 2,,,,,,,,,,,,,,,,,olowo ila,,,odo eran,odo eran,,odo eran,,,,,,,charly boy,,council,,,,,
,,,trinity,,ware house,ware house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,odo eran bus stop,,,tipper garage,,,,,under bridge,okokomaiko,,,,,,,,,,,,,,,,,akesan junction,,,pipeline,pipeline,,pipeline,,,,,,,second pedro,,pad,,,,,
,,,ware house,,coconut,coconut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,second gate bus stop,,,2nd tollgate,,,,,agbara,under bridge,,,,,,,,,,,,,,,,,araromi,,,isherin olofin,isherin olofin,,isherin olofin,,,,,,,gbagada,,arida,,,,,
,,,coconut,,,tincan 1st gate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ogba,,,total,,,,,magbon,agbara,,,,,,,,,,,,,,,,,ewedogbon,,,lab,,,lab,,,,,,,new garage,,foursquare,,,,,
,,,,,,tincan 2nd gate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ikota,,,,,araromi,magbon,,,,,,,,,,,,,,,,,adexson,,,baba oba,,,baba oba,,,,,,,olojojo,,paradise,,,,,
,,,,,,liverpool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,eleganza shopping complex,,,,,mosafejo,araromi,,,,,,,,,,,,,,,,,afolabi,,,car wash,,,car wash,,,,,,,iyana oworo,,college,,,,,
,,,,,,trebor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ilaje,,,,,mammy market ibereko,mosafejo,,,,,,,,,,,,,,,,,bus stop,,,faith,,,faith,,,,,,,adeniji adele,,ikotun,,,,,
,,,,,,apapa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ajah,,,,,badagry garage,mammy market ibereko,,,,,,,,,,,,,,,,,iba junction,,,ilepo alhaji,,,ilepo alhaji,,,,,,,leventis,,,,,,,
,,,,,,wharf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,badagry garage,,,,,,,,,,,,,,,,,adoff,,,abule odu,,,abule odu,,,,,,,cms,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,seme ,,,,,,,,,,,,,,,,,iyana school,,,seliat,,,seliat,,,,,,,obalende,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ajakeye,,,orelope,,,orelope,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ipaye,,,oja,,,oja,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,iba estate,,,okunola,,,okunola,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,iyana iba,,,egbeda,,,egbeda,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mokola,,,bakery,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,banire,,,micom,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ponle,,,baale,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,olorun adaba,,,vulcanizer,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,church,,,jimoh,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,alimosho,,,cele,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,alagutan,,,shasha,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,iyana ipaja,,,cement,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mangoro,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ile zik,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ajayi farm,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ikeja along,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,national,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ikeja,,,,,,,,,,,,,,
