jakande,TR,"jakande,682"
nnpc,TR,"nnpc,685"
nepa,TR,"nepa,684"
ejigbo,TR,"ejigbo,679"
ori-oke,TR,"ori-oke,687"
cele,TR,"cele,762"
ile-iwe,TR,"ile-iwe,763"
synagogue,TR,"synagogue,764"
ikotun,TE,"ikotun,765"
cele express,TE,"cele express,648"
lasu,TR,"lasu,683"
ago junction,TR,ago junction,909
ago roundabout,TR,"ago roundabout,673"
barracks,TR,"barracks,677"
chemist,TR,"chemist,678"
gideon,TR,"gideon,680"
pako,TR,"pako,688"
oke afa,TR,"oke afa,686"
jakande,TE,"jakande,682"
cele express,TE,"cele express,648"
odi oluwo,TR,"odi oluwo,661"
ijesha,TR,ijesha,792
sanya,TR,"sanya,669"
coker,TR,"coker,649"
second rainbow,TR,"second rainbow,888"
alaba express,TR,"alaba express,645"
jakande,TR,"jakande,682"
mile 2,TR,mile 2,889
berger/kirikiri,TR,"berger/kirikiri,796"
berger,TR,"berger/kirikiri,796"
sunrise,TR,"sunrise,797"
apapa express way,TR,"apapa express way,798"
trinity,TR,"trinity,799"
ware house,TR,"ware-house,800"
coconut,TE,"coconut,801"
cele express,TE,"cele express,648"
odi oluwo,TR,"odi oluwo,661"
ijesha,TR,ijesha,792
sanya,TR,"sanya,669"
coker,TR,"coker,649"
second rainbow,TR,"second rainbow,888"
alaba express,TR,"alaba express,645"
jakande,TR,"jakande,682"
mile 2,TR,mile 2,889
berger/kirikiri,TR,"berger/kirikiri,796"
berger,TR,"berger/kirikiri,796"
sunrise,TR,"sunrise,797"
apapa express way,TR,"apapa express way,798"
trinity,TR,"trinity,799"
ware house,TR,"ware-house,800"
coconut,TR,"coconut,801"
tincan 1st gate,TR,"tincan 1st gate,788"
tincan 2nd gate,TR,"tincan 2nd gate,789"
liverpool,TR,"liverpool,790"
trebor,TR,"trebor,791"
trebor,TR,"trebor,791"
alex,TR,alex,898
npa gate,TR,npa gate,899
niger,TR,niger,900
wharf,TE,"wharf,793"
cele express,TE,"cele express,648"
lasu,TR,"lasu,683"
ago,TE,"ago,673"
cele express,TE,"cele express,648"
lasu,TR,"lasu,683"
ago junction,TR,ago junction,909
ago roundabout,TR,"ago roundabout,673"
barracks,TR,"barracks,677"
chemist,TR,"chemist,678"
gideon,TR,"gideon,680"
pako,TR,"pako,688"
oke afa,TR,"oke afa,686"
jakande,TR,"jakande,682"
nnpc,TR,"nnpc,685"
nepa,TR,"nepa,684"
ejigbo,TE,"ejigbo,679"
cele express,TE,"cele express,648"
okota link bridge,TR,"okota link bridge,666"
lawanson,TR,"lawanson,657"
ogunlana,TR,"ogunlana,663"
municipal,TR,"municipal,660"
ojuelegba bus station,TR,"ojuelegba bus station,664"
yaba,TE,"yaba,858"
cele express,TE,"cele express,648"
okota link bridge,TR,"okota link bridge,666"
lawanson,TE,"lawanson,657"
mile 2,TE,mile 2,889
suru alaba,TR,"suru alaba,895"
oduade,TR,oduade,910
coker,TR,"coker,649"
orile,TR,"orile,668"
doyin,TE,"doyin,650"
mile 2,TE,mile 2,889
berger/kirikiri,TR,"berger/kirikiri,796"
berger,TR,"berger/kirikiri,796"
sunrise,TR,"sunrise,797"
apapa express way,TR,"apapa express way,798"
trinity,TR,"trinity,799"
ware house,TR,"ware-house,800"
coconut,TR,"coconut,801"
tincan 1st gate,TR,"tincan 1st gate,788"
tincan 2nd gate,TR,"tincan 2nd gate,789"
liverpool,TR,"liverpool,790"
trebor,TR,"trebor,791"
trebor,TR,"trebor,791"
alex,TR,alex,898
npa gate,TR,npa gate,899
niger,TR,niger,900
wharf,TE,"wharf,793"
*ojuelegba bus station,TE,"ojuelegba bus station,664"
*ajegunle,TE,
ojuelegba bus station,TE,"ojuelegba bus station,664"
jibowu,TR,"jibowu,705"
fadeyi,TR,"fadeyi,706"
onipanu,TR,"onipanu,707"
palmgrove,TR,"palmgrove,708"
obanikoro,TR,"obanikoro,709"
anthony,TR,"anthony,710"
idiroko,TR,"idiroko,783"
maryland,TR,"maryland,744"
onigbongbo,TR,"onigbongbo,733"
leventis,TR,"leventis,732"
kingsway,TR,"kingsway,731"
junction,TR,"junction,891"
salvation,TR,"salvation,724"
awosika,TR,"awosika,723"
sensation,TR,"sensation,722"
plaza,TR,"plaza 307,824"
